Component,Package,Value,Manuf,Manuf Part No,Distrib,Distrib Part No,Ref Name,Qty
0.125Wresistor,DIL,,,,,,R2 R3 R1,3
1N914,MISC,,,,,,D5 D6 D7 D8,4
B3F-1050,DIP,,,,,,SW1,1
Ceramic,C,,,,,,C3 C4 C5 C6 C7 C8 C9,7
Header2,SIP,,,,,,J2,1
Header8,MISC,,,,,,J4,1
JTAG,USER,,AllElectronics,DHS-40,,,J1,1
L293,DIP16,,,,,,U3,1
LEDT1.75,SIP,,,,,,D1,1
LM3S811,QFP,,,,,,U1,1
LM2937ET-3.3,TO220,,,,,,U2,1
LogicAnalyzer,DIP,,,,,,J6,1
Hammond1593Y,MISC,,,,,,Box1,1
OffBoardSwitch,DIP,,,,,,SW2 SW3 SW4,3
tantalum,C,,,,,,C2 C10 C12,3
testpoint,SIP,,,,,,GND,1
,SIP,,+3.3V,,,,TP2,1
,SIP,,+7.4v,,,,TP1,1
XTAL,DSC,,,,,,Y1,1
Tenergy Li-Ion 18650,,,,,,,,1
,,,,,,,,35
